Quartz,K-feldspar,Plagioclase,Dolomite,Magnesite,Halloysite,Dickite,Chlorite,Serpentine,Olivine,Titanite,Epidote,Ilmenite,Tourmaline,Spinel,Kerogen,Pyroxene,Boehmite,Hematite,Chalcopyrite,Natrite,Nahcolite,Organic matter,Illite,Anhydrite,Muscovite,Opal,Mica (Tri),Alunite,Calcite,Aragonite,Amphibole,Kaolinite,Ferrihydrite,Vermiculite,Smectite (Di),Tephra,Carbon (%),Horz_Position,Water stable aggregate (0.25mm)
7.9441,2.5373,5.8914,0.6899,0.8723,0,0,0.3174,0.875,0,0,0,0,0.7344,0,0,0.8645,1.117,0,1.2774,0.9731,0,23.8465,0,0.2433,0,0,0,0,30.4042,17.6079,1.7083,0,0,0,0,0,13.3331532,1,0.914846803
6.2025,1.3747,5.1024,0.6084,0.6335,0,0,0.2569,0.2485,0.9363,0.4123,0,0,0,0,0,1.3315,0,0,2.8216,1.0739,0,17.6285,0,0,0,0,0,0.6705,38.725,18.1709,1.0032,0,0,0,0,0,8.7339984,2,0.780063807
5.6216,2.0048,4.7017,0.7004,0.7317,0,0,0.2376,0.5888,0.4494,0.1303,0,0,0.0724,0.1399,0,0.7917,1.2295,0,1.8661,0.8375,0,21.5819,0,0.1881,0,0,0,0,36.7927,18.2108,1.0177,0.0879,0,0,0,0,11.6961004,1,0.91754568
5.7646,0,5.0939,0.6468,0.541,0,0,0.1961,0.38,0.9928,0.4972,0,0,0,0.2286,0,1.5526,0,0,3.1879,0.9352,0,18.4369,0,0,0,0,0,0.803,39.6202,17.8594,0,0,0,0,0,0,9.0571966,2,0.75476185
17.493,1.5537,18.7117,0.4628,0.5574,0,0.0665,0,0,0.571,0.5023,0,0,0.0476,0,0,0,1.2781,0,1.658,0.6616,0,18.0404,0,0,0,0,0,0.1617,23.4803,9.2389,3.1693,0,0,0,0,0,7.5934539,1,0.86101325
16.495,0,18.0928,0.3942,0.4334,0,0,0.2017,0,0.8459,0.7244,0,0,0,0,0,0,1.3853,0,2.0945,0.9136,0,15.9936,0,0,0,0,0,0.8033,25.9145,9.8389,3.0226,0,0,0,0,0,6.0379064,2,0.746700453
6.8069,0,10.8481,0.3371,0.6098,0,0,0.2283,0,0.6506,0.4257,0,0,0,0,0,0,0,0,2.5625,1.2515,0,17.3634,0,0,0,0,0,0.7779,34.4797,17.1119,3.113,0,0,0,0,0,8.7614122,1,0.765743353
6.9467,0,10.6204,0.4361,0.4533,0,0,0.3868,0,0.8347,0.6985,0,0,0,0,0,0.1877,0,0,2.8259,1.0428,0,16.0234,0,0,0,0,0,1.1458,34.7934,16.8228,3.0468,0,0,0,0,0,8.1332292,2,0.719704783
22.3317,2.1474,4.665,0.5992,0.3835,0.9872,0.3054,1.1626,0.1095,0.8099,0.6802,0,0.1336,1.5787,0,12.3635,0.4626,1.1463,0,1.0054,1.0213,0,0,0,0,0,0,0,0.2446,20.7489,10.2928,0,0,0,0,0,13.4525,7.5412499,1,0.860479523
24.8245,2.8223,5.1251,0.5869,0.3858,0.9816,0.3049,0.958,0.079,0.7794,1.031,0,0.1828,1.518,0,11.4839,0.5576,0.9778,0.0301,0.8017,0.7572,0,0,0,0,0,0,0,0.3152,19.6792,9.4053,0,0,0,0,0,12.817,5.3253867,2,0.800621353
